turn 1: upper: THROW symbol r to (4, -4)
turn 1: lower: THROW symbol r to (-4, 4)
turn 2: upper: THROW symbol p to (3, -2)
turn 2: lower: THROW symbol p to (-3, 1)
turn 3: upper: THROW symbol s to (4, -1)
turn 3: lower: THROW symbol s to (-2, 2)
turn 49: upper: THROW symbol p to (0, 0)
turn 49: lower: SWING from (2, -1) to (0, 0)
turn 50: upper: SLIDE from (0, 1) to (-1, 2)
turn 50: lower: SLIDE from (1, -1) to (0, 0)
turn 51: upper: SLIDE from (-1, 2) to (-2, 3)
turn 51: lower: SLIDE from (-3, 4) to (-2, 3)
turn 52: upper: SLIDE from (3, -2) to (2, -1)
turn 52: lower: SLIDE from (-2, 3) to (-1, 3)
turn 53: upper: SLIDE from (2, -1) to (1, 0)
turn 53: lower: SLIDE from (-1, 3) to (-2, 3)
turn 54: upper: SWING from (1, 0) to (-1, 1)
turn 54: lower: SLIDE from (-2, 3) to (-3, 3)
turn 55: upper: SWING from (0, 0) to (-2, 2)
turn 55: lower: SLIDE from (-3, 3) to (-4, 3)
turn 56: upper: SWING from (-1, 1) to (-3, 3)
turn 56: lower: SLIDE from (0, 0) to (-1, 0)
turn 57: upper: SWING from (-2, 2) to (-4, 3)
turn 57: lower: SWING from (-4, 4) to (-4, 2)
turn 58: upper: SWING from (-3, 3) to (-4, 2)
turn 58: lower: SLIDE from (-4, 2) to (-3, 1)
turn 59: upper: SWING from (-4, 3) to (-3, 1)
turn 59: lower: SLIDE from (-3, 1) to (-3, 0)
turn 60: upper: SWING from (-4, 2) to (-2, 0)
turn 60: lower: SLIDE from (-3, 0) to (-4, 0)
turn 61: upper: SWING from (-2, 0) to (-4, 1)
turn 61: lower: SLIDE from (-1, 0) to (-1, -1)
turn 62: upper: SWING from (-3, 1) to (-4, 0)
turn 62: lower: SLIDE from (-4, 0) to (-3, -1)
turn 63: upper: SWING from (-4, 1) to (-3, -1)
turn 63: lower: SLIDE from (-3, -1) to (-2, -1)
turn 64: upper: SWING from (-4, 0) to (-2, -1)
turn 64: lower: SWING from (-2, -1) to (0, -2)
turn 65: upper: SWING from (-3, -1) to (-1, -1)
turn 65: lower: SLIDE from (0, -2) to (0, -1)
turn 66: upper: SWING from (-2, -1) to (0, -1)
turn 66: lower: SLIDE from (0, -1) to (0, -2)
turn 67: upper: SLIDE from (0, -1) to (0, -2)
turn 67: lower: SWING from (0, -2) to (-1, 0)
turn 68: upper: SWING from (0, -2) to (-1, 0)
turn 68: lower: SLIDE from (-1, 0) to (-2, 1)
turn 69: upper: SWING from (-1, -1) to (-1, 1)
turn 69: lower: SLIDE from (-2, 1) to (-2, 2)
turn 70: upper: SWING from (-1, 0) to (-1, 2)
turn 70: lower: SLIDE from (-2, 2) to (-2, 1)
turn 71: upper: SWING from (-1, 2) to (-2, 1)
turn 71: lower: SLIDE from (-2, 1) to (-3, 1)
turn 72: upper: SWING from (-1, 1) to (-2, 0)
turn 72: lower: SLIDE from (-3, 1) to (-3, 2)
turn 73: upper: SWING from (-2, 0) to (-3, 2)
turn 73: lower: SLIDE from (-3, 2) to (-3, 1)
turn 74: upper: SLIDE from (-2, 1) to (-3, 1)
turn 74: lower: SLIDE from (-3, 1) to (-4, 1)
turn 75: upper: SWING from (-3, 2) to (-3, 0)
turn 75: lower: SLIDE from (-4, 1) to (-4, 2)
turn 76: upper: SWING from (-3, 0) to (-4, 2)
turn 76: lower: SWING from (-4, 2) to (-4, 4)
turn 77: upper: SWING from (-3, 1) to (-4, 3)
turn 77: lower: SLIDE from (-1, -1) to (-1, -2)
turn 78: upper: SWING from (-4, 2) to (-4, 4)
turn 78: lower: SWING from (-4, 4) to (-3, 2)
turn 79: upper: SWING from (-4, 4) to (-3, 2)
turn 79: lower: SLIDE from (-3, 2) to (-4, 2)
turn 80: upper: SLIDE from (-4, 3) to (-4, 2)
turn 80: lower: SWING from (-4, 2) to (-4, 4)
turn 81: upper: SWING from (-4, 2) to (-3, 3)
turn 81: lower: SLIDE from (-1, -2) to (-1, -3)
turn 82: upper: SWING from (-3, 2) to (-4, 4)
turn 82: lower: SWING from (-4, 4) to (-3, 2)
turn 83: upper: SWING from (-4, 4) to (-3, 2)
turn 83: lower: SWING from (-3, 2) to (-4, 4)
turn 84: upper: SWING from (-3, 2) to (-4, 4)
turn 84: lower: SWING from (-4, 4) to (-4, 2)
turn 85: upper: SLIDE from (-3, 3) to (-3, 2)
turn 85: lower: SLIDE from (-1, -3) to (0, -4)
turn 86: upper: SLIDE from (-3, 2) to (-4, 2)
turn 86: lower: SLIDE from (-4, 2) to (-3, 2)
turn 87: upper: SLIDE from (-4, 2) to (-3, 2)
turn 87: lower: SLIDE from (-3, 2) to (-3, 3)
turn 88: upper: SLIDE from (-3, 2) to (-4, 2)
turn 88: lower: SLIDE from (-3, 3) to (-2, 2)
turn 89: upper: SLIDE from (-4, 4) to (-3, 4)
turn 89: lower: SLIDE from (0, -4) to (1, -4)
turn 90: upper: SLIDE from (-3, 4) to (-2, 3)
turn 90: lower: SLIDE from (1, -4) to (1, -3)
turn 91: upper: SLIDE from (-2, 3) to (-2, 2)
turn 91: lower: SLIDE from (-2, 2) to (-3, 2)
turn 92: upper: SLIDE from (-2, 2) to (-3, 3)
turn 92: lower: SWING from (-3, 2) to (-4, 4)
turn 93: upper: SLIDE from (-3, 3) to (-3, 2)
turn 93: lower: SWING from (-4, 4) to (-3, 2)
turn 94: upper: SWING from (-3, 2) to (-4, 1)
turn 94: lower: SLIDE from (1, -3) to (0, -3)
turn 95: upper: SWING from (-4, 2) to (-3, 0)
turn 95: lower: SLIDE from (0, -3) to (0, -4)
turn 96: upper: SWING from (-3, 0) to (-4, 2)
turn 96: lower: SLIDE from (0, -4) to (0, -3)
turn 97: upper: SWING from (-4, 2) to (-3, 0)
turn 97: lower: SLIDE from (0, -3) to (-1, -2)
turn 98: upper: SWING from (-4, 1) to (-2, 0)
turn 98: lower: SLIDE from (-1, -2) to (-1, -1)
turn 99: upper: SWING from (-2, 0) to (-3, -1)
turn 99: lower: SLIDE from (-1, -1) to (0, -2)
turn 100: upper: SWING from (-3, 0) to (-2, -2)
turn 100: lower: SLIDE from (0, -2) to (0, -3)
turn 101: upper: SWING from (-2, -2) to (-3, 0)
turn 101: lower: SLIDE from (0, -3) to (1, -4)
turn 102: upper: SWING from (-3, 0) to (-2, -2)
turn 102: lower: SLIDE from (1, -4) to (0, -3)
turn 103: upper: SWING from (-2, -2) to (-4, 0)
turn 103: lower: SLIDE from (0, -3) to (0, -4)
turn 104: upper: SWING from (-3, -1) to (-4, 1)
turn 104: lower: SLIDE from (0, -4) to (0, -3)
turn 105: upper: SWING from (-4, 1) to (-3, -1)
turn 105: lower: SLIDE from (0, -3) to (1, -4)
turn 106: upper: SWING from (-3, -1) to (-4, 1)
turn 106: lower: SLIDE from (1, -4) to (2, -4)
turn 107: upper: SWING from (-4, 0) to (-3, 1)
turn 107: lower: SLIDE from (2, -4) to (1, -3)
turn 108: upper: SWING from (-4, 1) to (-2, 1)
turn 108: lower: SLIDE from (1, -3) to (1, -4)
turn 109: upper: SWING from (-2, 1) to (-3, 0)
turn 109: lower: SLIDE from (1, -4) to (0, -4)
turn 110: upper: SWING from (-3, 1) to (-2, -1)
turn 110: lower: SLIDE from (0, -4) to (-1, -3)
turn 111: upper: SWING from (-2, -1) to (-3, 1)
turn 111: lower: SLIDE from (-1, -3) to (-2, -2)
turn 112: upper: SWING from (-3, 1) to (-2, -1)
turn 112: lower: SLIDE from (-2, -2) to (-1, -2)
turn 113: upper: SWING from (-2, -1) to (-4, 0)
turn 113: lower: SLIDE from (-1, -2) to (0, -2)
turn 114: upper: SWING from (-4, 0) to (-2, 0)
turn 114: lower: SLIDE from (0, -2) to (0, -3)
turn 115: upper: SWING from (-2, 0) to (-4, 0)
turn 115: lower: SLIDE from (0, -3) to (1, -3)
turn 116: upper: SLIDE from (-3, 0) to (-2, 0)
turn 116: lower: SLIDE from (1, -3) to (1, -2)
turn 117: upper: SLIDE from (-2, 0) to (-1, 0)
turn 117: lower: SLIDE from (1, -2) to (1, -1)
turn 118: upper: SLIDE from (-1, 0) to (0, 0)
turn 118: lower: SLIDE from (1, -1) to (1, -2)
turn 119: upper: SLIDE from (0, 0) to (1, 0)
turn 119: lower: SLIDE from (1, -2) to (1, -1)
turn 120: upper: SLIDE from (1, 0) to (2, 0)
turn 120: lower: SLIDE from (1, -1) to (2, -2)
turn 121: upper: SLIDE from (2, 0) to (3, 0)
turn 121: lower: SLIDE from (2, -2) to (2, -3)
turn 122: upper: SLIDE from (3, 0) to (4, 0)
turn 122: lower: SLIDE from (2, -3) to (1, -3)
turn 123: upper: SLIDE from (4, 0) to (4, -1)
turn 123: lower: SLIDE from (1, -3) to (0, -3)
turn 124: upper: SLIDE from (4, -1) to (4, 0)
turn 124: lower: SLIDE from (0, -3) to (0, -4)
turn 125: upper: SLIDE from (4, 0) to (4, -1)
turn 125: lower: SLIDE from (0, -4) to (0, -3)
turn 126: upper: SLIDE from (4, -1) to (4, -2)
turn 126: lower: SLIDE from (0, -3) to (0, -4)
turn 127: upper: SLIDE from (4, -2) to (4, -3)
turn 127: lower: SLIDE from (0, -4) to (0, -3)
turn 128: upper: SLIDE from (4, -3) to (4, -2)
turn 128: lower: SLIDE from (0, -3) to (1, -3)
turn 129: upper: SLIDE from (4, -2) to (4, -3)
turn 129: lower: SLIDE from (1, -3) to (1, -2)
turn 130: upper: SLIDE from (4, -3) to (4, -4)
turn 130: lower: SLIDE from (1, -2) to (1, -3)
turn 131: upper: SLIDE from (4, -4) to (3, -3)
turn 131: lower: SLIDE from (1, -3) to (2, -4)
turn 132: upper: SLIDE from (3, -3) to (4, -4)
turn 132: lower: SLIDE from (2, -4) to (1, -3)
turn 133: upper: SLIDE from (4, -4) to (3, -3)
turn 133: lower: SLIDE from (1, -3) to (0, -2)
turn 134: upper: SLIDE from (3, -3) to (3, -2)
turn 134: lower: SLIDE from (0, -2) to (1, -2)
turn 135: upper: SLIDE from (3, -2) to (3, -1)
turn 135: lower: SLIDE from (1, -2) to (0, -1)
turn 136: upper: SLIDE from (3, -1) to (3, 0)
turn 136: lower: SLIDE from (0, -1) to (-1, 0)
turn 137: upper: SLIDE from (3, 0) to (3, 1)
turn 137: lower: SLIDE from (-1, 0) to (-2, 0)
turn 138: upper: SLIDE from (3, 1) to (2, 2)
turn 138: lower: SLIDE from (-2, 0) to (-2, -1)
turn 139: upper: SLIDE from (2, 2) to (3, 1)
turn 139: lower: SLIDE from (-2, -1) to (-2, 0)
turn 140: upper: SLIDE from (3, 1) to (2, 2)
turn 140: lower: SLIDE from (-2, 0) to (-3, 0)
turn 141: upper: SLIDE from (2, 2) to (2, 1)
turn 141: lower: SLIDE from (-3, 0) to (-2, -1)
turn 142: upper: SLIDE from (2, 1) to (2, 0)
turn 142: lower: SLIDE from (-2, -1) to (-1, -2)
turn 143: upper: SLIDE from (2, 0) to (3, -1)
turn 143: lower: SLIDE from (-1, -2) to (-2, -1)
turn 144: upper: SLIDE from (3, -1) to (3, -2)
turn 144: lower: SLIDE from (-2, -1) to (-1, -1)
turn 145: upper: SLIDE from (3, -2) to (2, -1)
turn 145: lower: SLIDE from (-1, -1) to (-2, -1)
turn 146: upper: SLIDE from (2, -1) to (2, -2)
turn 146: lower: SLIDE from (-2, -1) to (-2, 0)
turn 147: upper: SLIDE from (2, -2) to (2, -1)
turn 147: lower: SLIDE from (-2, 0) to (-3, 1)
turn 148: upper: SLIDE from (2, -1) to (2, -2)
turn 148: lower: SLIDE from (-3, 1) to (-3, 2)
turn 149: upper: SLIDE from (2, -2) to (2, -3)
turn 149: lower: SLIDE from (-3, 2) to (-2, 2)
turn 150: upper: SLIDE from (2, -3) to (3, -4)
turn 150: lower: SLIDE from (-2, 2) to (-2, 3)
turn 151: upper: SLIDE from (3, -4) to (2, -3)
turn 151: lower: SLIDE from (-2, 3) to (-2, 2)
turn 152: upper: SLIDE from (2, -3) to (3, -4)
turn 152: lower: SLIDE from (-2, 2) to (-2, 3)
turn 153: upper: SLIDE from (3, -4) to (2, -4)
turn 153: lower: SLIDE from (-2, 3) to (-3, 4)
turn 154: upper: SLIDE from (2, -4) to (1, -3)
turn 154: lower: SLIDE from (-3, 4) to (-2, 4)
turn 155: upper: SLIDE from (1, -3) to (2, -4)
turn 155: lower: SLIDE from (-2, 4) to (-1, 3)
turn 156: upper: SLIDE from (2, -4) to (1, -3)
turn 156: lower: SLIDE from (-1, 3) to (-2, 4)
turn 157: upper: SLIDE from (1, -3) to (1, -2)
turn 157: lower: SLIDE from (-2, 4) to (-2, 3)
turn 158: upper: SLIDE from (1, -2) to (1, -1)
turn 158: lower: SLIDE from (-2, 3) to (-3, 4)
turn 159: upper: SLIDE from (1, -1) to (1, 0)
turn 159: lower: SLIDE from (-3, 4) to (-3, 3)
turn 160: upper: SLIDE from (1, 0) to (1, 1)
turn 160: lower: SLIDE from (-3, 3) to (-3, 2)
turn 161: upper: SLIDE from (1, 1) to (2, 1)
turn 161: lower: SLIDE from (-3, 2) to (-3, 3)
turn 162: upper: SLIDE from (2, 1) to (1, 2)
turn 162: lower: SLIDE from (-3, 3) to (-2, 2)
turn 163: upper: SLIDE from (1, 2) to (1, 3)
turn 163: lower: SLIDE from (-2, 2) to (-3, 2)
turn 164: upper: SLIDE from (1, 3) to (1, 2)
turn 164: lower: SLIDE from (-3, 2) to (-2, 1)
turn 165: upper: SLIDE from (1, 2) to (1, 3)
turn 165: lower: SLIDE from (-2, 1) to (-1, 0)
turn 166: upper: SLIDE from (1, 3) to (0, 4)
turn 166: lower: SLIDE from (-1, 0) to (-2, 0)
turn 167: upper: SLIDE from (0, 4) to (0, 3)
turn 167: lower: SLIDE from (-2, 0) to (-3, 0)
turn 168: upper: SLIDE from (0, 3) to (0, 4)
turn 168: lower: SLIDE from (-3, 0) to (-3, 1)
turn 169: upper: SLIDE from (0, 4) to (0, 3)
turn 169: lower: SLIDE from (-3, 1) to (-2, 0)
turn 170: upper: SLIDE from (0, 3) to (0, 2)
turn 170: lower: SLIDE from (-2, 0) to (-3, 1)
turn 171: upper: SLIDE from (0, 2) to (1, 1)
turn 171: lower: SLIDE from (-3, 1) to (-3, 2)
turn 172: upper: SLIDE from (1, 1) to (0, 2)
turn 172: lower: SWING from (-3, 2) to (-4, 4)
turn 173: upper: SLIDE from (0, 2) to (0, 1)
turn 173: lower: SLIDE from (-4, 3) to (-3, 2)
turn 174: upper: SLIDE from (0, 1) to (0, 0)
turn 174: lower: SLIDE from (-3, 2) to (-3, 1)
turn 175: upper: SLIDE from (0, 0) to (1, -1)
turn 175: lower: SLIDE from (-3, 1) to (-4, 1)
turn 176: upper: SLIDE from (1, -1) to (1, -2)
turn 176: lower: SLIDE from (-4, 1) to (-3, 1)
turn 177: upper: SLIDE from (1, -2) to (0, -1)
turn 177: lower: SLIDE from (-3, 1) to (-3, 0)
turn 178: upper: SLIDE from (0, -1) to (0, -2)
turn 178: lower: SLIDE from (-3, 0) to (-4, 0)
turn 179: upper: SLIDE from (0, -2) to (0, -1)
turn 179: lower: SLIDE from (-4, 4) to (-4, 3)
turn 180: upper: SLIDE from (0, -1) to (0, -2)
turn 180: lower: SLIDE from (-4, 3) to (-4, 4)
turn 181: upper: SLIDE from (0, -2) to (0, -3)
turn 181: lower: SLIDE from (-4, 4) to (-3, 3)
turn 182: upper: SLIDE from (0, -3) to (1, -4)
turn 182: lower: SLIDE from (-3, 3) to (-4, 3)
turn 183: upper: SLIDE from (1, -4) to (0, -3)
turn 183: lower: SLIDE from (-4, 3) to (-3, 2)
turn 184: upper: SLIDE from (0, -3) to (1, -4)
turn 184: lower: SLIDE from (-3, 2) to (-3, 1)
turn 185: upper: SLIDE from (1, -4) to (0, -4)
turn 185: lower: SLIDE from (-3, 1) to (-3, 2)
turn 186: upper: SLIDE from (0, -4) to (-1, -3)
turn 186: lower: SLIDE from (-3, 2) to (-3, 1)
turn 187: upper: SLIDE from (-1, -3) to (0, -4)
turn 187: lower: SLIDE from (-3, 1) to (-2, 0)
turn 188: upper: SLIDE from (0, -4) to (-1, -3)
turn 188: lower: SLIDE from (-2, 0) to (-2, 1)
turn 189: upper: SLIDE from (-1, -3) to (-1, -2)
turn 189: lower: SLIDE from (-2, 1) to (-3, 2)
turn 190: upper: SLIDE from (-1, -2) to (-1, -1)
turn 190: lower: SLIDE from (-3, 2) to (-2, 1)
turn 191: upper: SLIDE from (-1, -1) to (-1, 0)
turn 191: lower: SLIDE from (-2, 1) to (-3, 1)
turn 192: upper: SLIDE from (-1, 0) to (-1, 1)
turn 192: lower: SLIDE from (-3, 1) to (-4, 1)
turn 193: upper: SLIDE from (-1, 1) to (0, 1)
turn 193: lower: SWING from (-4, 1) to (-3, -1)
turn 194: upper: SLIDE from (0, 1) to (-1, 2)
turn 194: lower: SLIDE from (-3, -1) to (-2, -2)
turn 195: upper: SLIDE from (-1, 2) to (-1, 3)
turn 195: lower: SLIDE from (-2, -2) to (-3, -1)
turn 196: upper: SLIDE from (-1, 3) to (-1, 4)
turn 196: lower: SWING from (-3, -1) to (-4, 1)
turn 197: upper: SLIDE from (-1, 4) to (-1, 3)
turn 197: lower: SLIDE from (-4, 1) to (-4, 0)
turn 198: upper: SLIDE from (-1, 3) to (-1, 4)
turn 198: lower: SLIDE from (-4, 0) to (-4, 1)
turn 199: upper: SLIDE from (-1, 4) to (-2, 4)
turn 199: lower: SLIDE from (-4, 1) to (-4, 0)
turn 200: upper: SLIDE from (-2, 4) to (-2, 3)
turn 200: lower: SLIDE from (-4, 0) to (-4, 1)
turn 201: upper: SLIDE from (-2, 3) to (-1, 2)
turn 201: lower: SLIDE from (-4, 1) to (-4, 2)
turn 202: upper: SLIDE from (-1, 2) to (-1, 1)
turn 202: lower: SLIDE from (-4, 2) to (-4, 3)
turn 203: upper: SLIDE from (-1, 1) to (-2, 2)
turn 203: lower: SLIDE from (-4, 3) to (-4, 2)
turn 204: upper: SLIDE from (-2, 2) to (-2, 3)
turn 204: lower: SLIDE from (-4, 2) to (-4, 1)
turn 205: upper: SLIDE from (-2, 3) to (-2, 4)
turn 205: lower: SWING from (-4, 1) to (-3, -1)
turn 206: upper: SLIDE from (-2, 4) to (-3, 4)
turn 206: lower: SLIDE from (-3, -1) to (-4, 0)
turn 207: upper: SLIDE from (-3, 4) to (-3, 3)
turn 207: lower: SLIDE from (-4, 0) to (-4, 1)
turn 208: upper: SLIDE from (-3, 3) to (-2, 2)
turn 208: lower: SLIDE from (-4, 1) to (-3, 0)
turn 209: upper: SLIDE from (-2, 2) to (-2, 1)
turn 209: lower: SLIDE from (-3, 0) to (-2, 0)
turn 210: upper: SLIDE from (-2, 1) to (-2, 0)
turn 210: lower: SLIDE from (-2, 0) to (-2, 1)
turn 211: upper: SLIDE from (-2, 0) to (-1, -1)
turn 211: lower: SLIDE from (-2, 1) to (-1, 0)
turn 212: upper: SLIDE from (-1, -1) to (-1, -2)
turn 212: lower: SLIDE from (-1, 0) to (-2, 1)
turn 213: upper: SLIDE from (-1, -2) to (-2, -1)
turn 213: lower: SLIDE from (-2, 1) to (-3, 1)
turn 214: upper: SLIDE from (-2, -1) to (-2, -2)
turn 214: lower: SLIDE from (-3, 1) to (-4, 1)
turn 215: upper: SLIDE from (-2, -2) to (-2, -1)
turn 215: lower: SWING from (-4, 1) to (-3, -1)
turn 216: upper: SLIDE from (-2, -1) to (-2, -2)
turn 216: lower: SLIDE from (-3, -1) to (-2, -1)
turn 217: upper: SLIDE from (-4, 0) to (-3, 0)
turn 217: lower: SLIDE from (-2, -1) to (-1, -1)
turn 218: upper: SLIDE from (-2, -2) to (-1, -2)
turn 218: lower: SLIDE from (-1, -1) to (-1, -2)
turn 219: upper: SLIDE from (-1, -2) to (0, -2)
turn 219: lower: SLIDE from (-4, 0) to (-4, 1)
turn 220: upper: SLIDE from (0, -2) to (1, -2)
turn 220: lower: SLIDE from (-1, -2) to (0, -2)
turn 221: upper: SLIDE from (1, -2) to (2, -2)
turn 221: lower: SLIDE from (0, -2) to (1, -3)
turn 222: upper: SLIDE from (2, -2) to (3, -2)
turn 222: lower: SLIDE from (1, -3) to (0, -3)
turn 223: upper: SLIDE from (3, -2) to (4, -2)
turn 223: lower: SLIDE from (0, -3) to (-1, -2)
turn 224: upper: SLIDE from (4, -2) to (4, -1)
turn 224: lower: SLIDE from (-1, -2) to (-2, -1)
turn 225: upper: SLIDE from (4, -1) to (4, 0)
turn 225: lower: SLIDE from (-2, -1) to (-1, -1)
turn 226: upper: SLIDE from (4, 0) to (4, -1)
turn 226: lower: SLIDE from (-1, -1) to (0, -2)
turn 227: upper: SLIDE from (4, -1) to (4, 0)
turn 227: lower: SLIDE from (0, -2) to (-1, -1)
turn 228: upper: SLIDE from (4, 0) to (3, 1)
turn 228: lower: SLIDE from (-1, -1) to (-2, -1)
turn 229: upper: SLIDE from (3, 1) to (3, 0)
turn 229: lower: SLIDE from (-2, -1) to (-2, 0)
turn 230: upper: SLIDE from (3, 0) to (3, 1)
turn 230: lower: SLIDE from (-2, 0) to (-2, -1)
turn 231: upper: SLIDE from (3, 1) to (3, 0)
turn 231: lower: SLIDE from (-2, -1) to (-3, -1)
turn 232: upper: SLIDE from (3, 0) to (3, -1)
turn 232: lower: SLIDE from (-3, -1) to (-2, -1)
turn 233: upper: SLIDE from (3, -1) to (4, -2)
turn 233: lower: SLIDE from (-2, -1) to (-2, -2)
turn 234: upper: SLIDE from (4, -2) to (4, -3)
turn 234: lower: SLIDE from (-2, -2) to (-3, -1)
turn 235: upper: SLIDE from (4, -3) to (4, -4)
turn 235: lower: SLIDE from (-3, -1) to (-3, 0)
turn 236: upper: SLIDE from (4, -4) to (4, -3)
turn 236: lower: SLIDE from (-4, 1) to (-4, 0)
turn 237: upper: SLIDE from (4, -3) to (4, -4)
turn 237: lower: SWING from (-4, 0) to (-2, 0)
turn 238: upper: SLIDE from (4, -4) to (3, -3)
turn 238: lower: SLIDE from (-2, 0) to (-1, -1)
turn 239: upper: SLIDE from (3, -3) to (3, -2)
turn 239: lower: SLIDE from (-1, -1) to (0, -2)
turn 240: upper: SLIDE from (3, -2) to (3, -1)
turn 240: lower: SLIDE from (0, -2) to (-1, -2)
turn 241: upper: SLIDE from (3, -1) to (2, 0)
turn 241: lower: SLIDE from (-1, -2) to (0, -2)
