turn 1: upper: THROW symbol s to (4, -1)
turn 1: lower: THROW symbol r to (-4, 4)
turn 2: upper: THROW symbol p to (3, -1)
turn 25: upper: SWING from (3, -2) to (4, -4)
turn 25: lower: SLIDE from (3, -4) to (2, -4)
turn 26: upper: SWING from (4, -3) to (3, -4)
turn 26: lower: SLIDE from (2, -4) to (1, -4)
turn 27: upper: SWING from (4, -4) to (2, -4)
turn 27: lower: SLIDE from (1, -4) to (0, -4)
turn 28: upper: THROW symbol s to (4, 0)
turn 28: lower: SLIDE from (0, -4) to (-1, -3)
turn 29: upper: SWING from (3, -4) to (1, -4)
turn 29: lower: SLIDE from (-1, -3) to (0, -3)
turn 30: upper: SLIDE from (2, -4) to (1, -3)
turn 30: lower: SLIDE from (0, -3) to (-1, -3)
turn 31: upper: SWING from (1, -3) to (0, -4)
turn 31: lower: SLIDE from (-1, -3) to (-2, -2)
turn 32: upper: SWING from (1, -4) to (-1, -3)
turn 32: lower: SLIDE from (-2, -2) to (-1, -2)
turn 33: upper: SLIDE from (0, -4) to (0, -3)
turn 33: lower: SLIDE from (-1, -2) to (0, -2)
turn 34: upper: SLIDE from (-1, -3) to (-1, -2)
turn 34: lower: SLIDE from (0, -2) to (1, -2)
turn 35: upper: SWING from (-1, -2) to (1, -3)
turn 35: lower: SLIDE from (1, -2) to (2, -2)
turn 36: upper: SWING from (0, -3) to (1, -2)
turn 36: lower: SLIDE from (2, -2) to (3, -2)
turn 37: upper: SWING from (1, -3) to (2, -2)
turn 37: lower: SLIDE from (3, -2) to (4, -3)
turn 38: upper: SWING from (1, -2) to (3, -2)
turn 38: lower: SLIDE from (4, -3) to (4, -4)
turn 39: upper: SWING from (2, -2) to (4, -3)
turn 39: lower: SLIDE from (4, -4) to (3, -4)
turn 40: upper: SWING from (3, -2) to (4, -4)
turn 40: lower: SLIDE from (3, -4) to (2, -4)
turn 41: upper: SWING from (4, -3) to (3, -4)
turn 41: lower: SLIDE from (2, -4) to (1, -4)
turn 42: upper: SWING from (4, -4) to (2, -4)
turn 42: lower: SLIDE from (1, -4) to (0, -4)
turn 43: upper: SWING from (3, -4) to (1, -4)
turn 43: lower: SLIDE from (0, -4) to (-1, -3)
turn 44: upper: SWING from (2, -4) to (0, -3)
turn 44: lower: SLIDE from (-1, -3) to (-2, -2)
turn 45: upper: SWING from (1, -4) to (-1, -3)
turn 45: lower: SLIDE from (-2, -2) to (-3, -1)
turn 46: upper: SWING from (0, -3) to (-2, -2)
turn 46: lower: SLIDE from (-3, -1) to (-2, -1)
turn 47: upper: SLIDE from (-1, -3) to (-1, -2)
turn 47: lower: SLIDE from (-2, -1) to (-1, -1)
turn 48: upper: SLIDE from (-2, -2) to (-2, -1)
turn 48: lower: SLIDE from (-1, -1) to (0, -1)
turn 49: upper: SWING from (-2, -1) to (0, -2)
turn 49: lower: SLIDE from (0, -1) to (1, -1)
turn 50: upper: SWING from (-1, -2) to (1, -2)
turn 50: lower: SLIDE from (1, -1) to (2, -1)
turn 51: upper: SWING from (0, -2) to (1, -1)
turn 51: lower: SLIDE from (2, -1) to (3, -1)
turn 52: upper: SWING from (1, -2) to (2, -1)
turn 52: lower: SLIDE from (3, -1) to (4, -1)
turn 53: upper: SWING from (1, -1) to (3, -1)
turn 53: lower: THROW symbol s to (-4, 3)
turn 54: upper: SWING from (2, -1) to (4, -1)
turn 54: lower: SLIDE from (4, -1) to (3, 0)
turn 55: upper: SWING from (4, -2) to (3, 0)
turn 55: lower: SLIDE from (3, 0) to (3, 1)
turn 56: upper: SWING from (3, -1) to (3, 1)
turn 56: lower: SLIDE from (3, 1) to (2, 1)
turn 57: upper: SWING from (3, 0) to (2, 2)
turn 57: lower: SLIDE from (2, 1) to (1, 1)
turn 58: upper: SLIDE from (4, -1) to (3, 0)
turn 58: lower: SLIDE from (1, 1) to (2, 0)
turn 59: upper: SLIDE from (2, 2) to (2, 1)
turn 59: lower: SLIDE from (2, 0) to (2, -1)
turn 60: upper: SWING from (3, 1) to (4, -1)
turn 60: lower: SLIDE from (2, -1) to (3, -2)
turn 61: upper: SWING from (3, 0) to (4, -2)
turn 61: lower: SLIDE from (3, -2) to (4, -3)
turn 62: upper: SLIDE from (2, 1) to (1, 1)
turn 62: lower: SLIDE from (4, -3) to (4, -4)
turn 63: upper: SWING from (4, -1) to (4, -3)
turn 63: lower: SLIDE from (4, -4) to (3, -4)
turn 64: upper: SWING from (4, -2) to (4, -4)
turn 64: lower: SLIDE from (3, -4) to (2, -4)
turn 65: upper: SLIDE from (1, 1) to (0, 1)
turn 65: lower: SLIDE from (2, -4) to (1, -4)
turn 66: upper: SWING from (4, -3) to (3, -4)
turn 66: lower: SLIDE from (-4, 3) to (-3, 3)
turn 67: upper: SWING from (4, -4) to (2, -4)
turn 67: lower: SLIDE from (1, -4) to (0, -4)
turn 68: upper: SWING from (3, -4) to (1, -4)
turn 68: lower: SLIDE from (0, -4) to (-1, -3)
turn 69: upper: SWING from (2, -4) to (0, -4)
turn 69: lower: SLIDE from (-1, -3) to (-2, -2)
turn 70: upper: SLIDE from (0, 1) to (-1, 2)
turn 70: lower: SLIDE from (-2, -2) to (-1, -2)
turn 71: upper: SLIDE from (-1, 2) to (-1, 3)
turn 71: lower: SLIDE from (-3, 3) to (-3, 2)
turn 72: upper: SLIDE from (-1, 3) to (-1, 2)
turn 72: lower: SLIDE from (-1, -2) to (0, -2)
turn 73: upper: SWING from (0, -4) to (1, -3)
turn 73: lower: SLIDE from (-3, 2) to (-2, 1)
turn 74: upper: SLIDE from (-1, 2) to (-1, 1)
turn 74: lower: SLIDE from (0, -2) to (-1, -2)
turn 75: upper: SLIDE from (-1, 1) to (-2, 1)
turn 75: lower: SLIDE from (-2, 1) to (-2, 0)
turn 76: upper: SLIDE from (-2, 1) to (-2, 0)
turn 76: lower: SLIDE from (-2, 0) to (-1, -1)
turn 77: upper: SLIDE from (-2, 0) to (-1, -1)
turn 77: lower: SLIDE from (-1, -1) to (0, -2)
turn 78: upper: SLIDE from (-1, -1) to (0, -2)
turn 78: lower: SWING from (0, -2) to (-2, -1)
turn 79: upper: SWING from (1, -4) to (1, -2)
turn 79: lower: SLIDE from (-1, -2) to (-2, -2)
turn 80: upper: SWING from (1, -3) to (-1, -2)
turn 80: lower: SLIDE from (-2, -2) to (-3, -1)
turn 81: upper: SWING from (0, -2) to (-2, -1)
turn 81: lower: SLIDE from (-2, -1) to (-1, -2)
turn 82: upper: SLIDE from (-2, -1) to (-1, -2)
turn 82: lower: SLIDE from (-1, -2) to (0, -2)
turn 83: upper: SLIDE from (-1, -2) to (0, -2)
turn 83: lower: SLIDE from (0, -2) to (0, -3)
turn 84: upper: SWING from (1, -2) to (-1, -1)
turn 84: lower: SLIDE from (0, -3) to (1, -4)
turn 85: upper: SLIDE from (0, -2) to (1, -3)
turn 85: lower: SLIDE from (-3, -1) to (-2, -2)
turn 86: upper: SLIDE from (-1, -1) to (-1, -2)
turn 86: lower: SLIDE from (1, -4) to (0, -4)
turn 87: upper: SLIDE from (1, -3) to (0, -3)
turn 87: lower: SLIDE from (-2, -2) to (-3, -1)
