turn 1: upper: THROW symbol s to (4, -1)
turn 1: lower: THROW symbol s to (-4, 2)
turn 2: upper: THROW symbol r to (3, -1)
turn 2: lower: THROW symbol r to (-3, 2)
turn 3: upper: THROW symbol p to (2, -1)
turn 3: lower: THROW symbol p to (-2, 1)
turn 25: upper: SLIDE from (1, 2) to (1, 1)
turn 25: lower: SLIDE from (2, 2) to (1, 2)
turn 26: upper: SLIDE from (1, 1) to (1, 0)
turn 26: lower: SLIDE from (1, 2) to (1, 1)
turn 27: upper: SWING from (1, 0) to (1, -2)
turn 27: lower: SLIDE from (1, 1) to (1, 0)
turn 28: upper: SWING from (1, -1) to (2, -3)
turn 28: lower: SLIDE from (1, 0) to (1, -1)
turn 29: upper: SLIDE from (1, -2) to (1, -3)
turn 29: lower: SLIDE from (1, -1) to (1, -2)
turn 30: upper: SLIDE from (1, -3) to (2, -4)
turn 30: lower: SLIDE from (1, -2) to (1, -3)
turn 31: upper: SWING from (2, -4) to (2, -2)
turn 31: lower: SLIDE from (1, -3) to (2, -4)
turn 32: upper: SWING from (2, -3) to (1, -1)
turn 32: lower: SLIDE from (2, -4) to (2, -3)
turn 33: upper: SWING from (2, -2) to (1, 0)
turn 33: lower: SLIDE from (2, -3) to (2, -2)
turn 34: upper: SWING from (1, -1) to (1, 1)
turn 34: lower: SLIDE from (2, -2) to (1, -1)
turn 35: upper: SWING from (1, 0) to (1, 2)
turn 35: lower: SLIDE from (1, -1) to (2, -2)
turn 36: upper: THROW symbol s to (2, -2)
turn 36: lower: SLIDE from (2, -2) to (3, -3)
turn 37: upper: SLIDE from (2, -2) to (3, -3)
turn 37: lower: SLIDE from (3, -3) to (3, -2)
turn 38: upper: SWING from (2, 0) to (3, -2)
turn 38: lower: SLIDE from (3, -2) to (2, -1)
turn 39: upper: SWING from (4, -1) to (2, -1)
turn 39: lower: SLIDE from (2, -1) to (1, 0)
turn 40: upper: SLIDE from (1, 1) to (2, 1)
turn 40: lower: SLIDE from (1, 0) to (0, 1)
turn 41: upper: THROW symbol s to (0, 1)
turn 41: lower: SLIDE from (0, 1) to (0, 2)
turn 42: upper: SWING from (1, 2) to (2, 0)
turn 42: lower: SLIDE from (0, 2) to (-1, 3)
turn 43: upper: SLIDE from (0, 1) to (1, 1)
turn 43: lower: SLIDE from (-3, 2) to (-2, 2)
turn 44: upper: SWING from (2, 1) to (1, 0)
turn 44: lower: SLIDE from (-2, 2) to (-1, 2)
turn 45: upper: SWING from (2, 0) to (1, -1)
turn 45: lower: SLIDE from (-1, 2) to (0, 1)
turn 46: upper: SLIDE from (1, 1) to (1, 2)
turn 46: lower: SLIDE from (0, 1) to (1, 1)
turn 47: upper: SLIDE from (1, 2) to (2, 2)
turn 47: lower: SLIDE from (1, 1) to (1, 2)
turn 48: upper: SLIDE from (1, 0) to (1, 1)
turn 48: lower: SLIDE from (1, 2) to (1, 3)
turn 49: upper: SLIDE from (2, 2) to (2, 1)
turn 49: lower: SLIDE from (1, 3) to (2, 2)
turn 50: upper: SLIDE from (2, 1) to (2, 0)
turn 50: lower: SLIDE from (2, 2) to (2, 1)
turn 51: upper: SLIDE from (2, 0) to (1, 0)
turn 51: lower: SLIDE from (2, 1) to (2, 0)
turn 52: upper: SLIDE from (1, 1) to (2, 0)
turn 52: lower: SLIDE from (2, 0) to (1, 0)
turn 53: upper: SWING from (2, -1) to (2, 1)
turn 53: lower: SLIDE from (1, 0) to (0, 0)
turn 54: upper: SLIDE from (1, -1) to (1, -2)
turn 54: lower: SLIDE from (0, 0) to (1, 0)
turn 55: upper: SLIDE from (2, 0) to (1, 0)
turn 55: lower: SLIDE from (1, 0) to (0, 0)
turn 56: upper: SLIDE from (1, 0) to (0, 0)
turn 56: lower: SLIDE from (0, 0) to (0, 1)
turn 57: upper: SLIDE from (0, 0) to (0, 1)
turn 57: lower: SLIDE from (0, 1) to (1, 1)
turn 58: upper: SLIDE from (2, 1) to (2, 2)
turn 58: lower: SLIDE from (1, 1) to (1, 2)
turn 59: upper: SLIDE from (2, 2) to (3, 1)
turn 59: lower: SLIDE from (1, 2) to (2, 2)
turn 60: upper: SLIDE from (3, 1) to (3, 0)
turn 60: lower: SLIDE from (2, 2) to (3, 1)
turn 61: upper: SLIDE from (3, 0) to (2, 0)
turn 61: lower: SLIDE from (3, 1) to (3, 0)
turn 62: upper: SWING from (3, -1) to (1, 1)
turn 62: lower: SLIDE from (3, 0) to (3, -1)
turn 63: upper: SLIDE from (0, 1) to (1, 0)
turn 63: lower: SLIDE from (3, -1) to (3, -2)
turn 64: upper: SLIDE from (3, -3) to (2, -3)
turn 64: lower: SLIDE from (3, -2) to (3, -3)
turn 65: upper: SWING from (2, -3) to (1, -1)
turn 65: lower: SLIDE from (3, -3) to (2, -3)
turn 66: upper: SWING from (1, -2) to (2, -1)
turn 66: lower: SLIDE from (2, -3) to (1, -2)
turn 67: upper: SWING from (1, -1) to (2, 0)
turn 67: lower: SLIDE from (1, -2) to (1, -1)
turn 68: upper: SWING from (2, -1) to (2, 1)
turn 68: lower: SLIDE from (1, -1) to (2, -1)
turn 69: upper: SWING from (2, 0) to (1, 2)
turn 69: lower: SLIDE from (2, -1) to (2, 0)
turn 70: upper: SLIDE from (1, 1) to (1, 2)
turn 70: lower: SLIDE from (2, 0) to (1, 1)
turn 71: upper: SLIDE from (1, 2) to (1, 3)
turn 71: lower: SLIDE from (1, 1) to (1, 2)
turn 72: upper: SLIDE from (1, 3) to (0, 4)
turn 72: lower: SLIDE from (1, 2) to (1, 3)
turn 73: upper: SLIDE from (1, 0) to (0, 1)
turn 73: lower: SLIDE from (1, 3) to (0, 4)
turn 74: upper: SLIDE from (0, 1) to (1, 1)
turn 74: lower: SLIDE from (-1, 3) to (0, 2)
turn 75: upper: SWING from (2, 1) to (1, 0)
turn 75: lower: SLIDE from (0, 2) to (1, 1)
turn 76: upper: SLIDE from (1, 0) to (1, -1)
turn 76: lower: SLIDE from (1, 1) to (1, 0)
turn 77: upper: SLIDE from (1, -1) to (1, -2)
turn 77: lower: SLIDE from (1, 0) to (1, -1)
turn 78: upper: SLIDE from (1, -2) to (1, -3)
turn 78: lower: SLIDE from (1, -1) to (1, -2)
turn 79: upper: SLIDE from (1, -3) to (2, -4)
turn 79: lower: SLIDE from (1, -2) to (1, -3)
turn 80: upper: SLIDE from (2, -4) to (3, -4)
turn 80: lower: SLIDE from (1, -3) to (2, -4)
turn 81: upper: SLIDE from (3, -4) to (3, -3)
turn 81: lower: SLIDE from (2, -4) to (3, -4)
turn 82: upper: SLIDE from (3, -3) to (2, -2)
turn 82: lower: SLIDE from (3, -4) to (3, -3)
turn 83: upper: SLIDE from (2, -2) to (1, -2)
turn 83: lower: SLIDE from (3, -3) to (2, -2)
turn 84: upper: SLIDE from (1, -2) to (1, -3)
turn 84: lower: SLIDE from (2, -2) to (1, -2)
turn 85: upper: SLIDE from (1, -3) to (2, -4)
turn 85: lower: SLIDE from (1, -2) to (1, -3)
turn 86: upper: SLIDE from (2, -4) to (3, -4)
turn 86: lower: SLIDE from (1, -3) to (2, -4)
turn 87: upper: SLIDE from (3, -4) to (3, -3)
turn 87: lower: SLIDE from (2, -4) to (3, -4)
turn 88: upper: SLIDE from (3, -3) to (2, -2)
turn 88: lower: SLIDE from (3, -4) to (3, -3)
turn 89: upper: SLIDE from (2, -2) to (1, -2)
turn 89: lower: SLIDE from (3, -3) to (2, -2)
turn 90: upper: SLIDE from (1, -2) to (1, -3)
turn 90: lower: SLIDE from (2, -2) to (1, -2)
draw: same game state occurred for 3rd time
