turn 1: upper: THROW symbol s to (4, -2)
turn 1: lower: THROW symbol p to (-4, 2)
turn 2: upper: THROW symbol r to (4, -3)
turn 2: lower: THROW symbol r to (-3, 2)
turn 3: upper: THROW symbol p to (2, -2)
turn 3: lower: THROW symbol s to (-3, 1)
turn 41: lower: SLIDE from (3, -2) to (2, -1)
turn 42: upper: SWING from (4, -3) to (4, -1)
turn 42: lower: SLIDE from (2, -1) to (1, 0)
turn 43: upper: SLIDE from (4, -1) to (3, 0)
turn 43: lower: SWING from (1, 0) to (-1, 1)
turn 44: upper: THROW symbol p to (3, -2)
turn 44: lower: SLIDE from (0, -1) to (0, 0)
turn 45: upper: SLIDE from (3, 0) to (3, -1)
turn 45: lower: SWING from (0, 0) to (-2, 2)
turn 46: upper: SWING from (3, -2) to (3, 0)
turn 46: lower: SLIDE from (0, 1) to (1, 0)
turn 47: upper: SWING from (3, 0) to (3, -2)
turn 47: lower: SLIDE from (1, 0) to (1, -1)
turn 48: upper: SLIDE from (4, -2) to (4, -3)
turn 48: lower: SLIDE from (1, -1) to (1, 0)
turn 49: upper: SLIDE from (3, -1) to (3, 0)
turn 49: lower: SLIDE from (1, 0) to (1, -1)
turn 50: upper: SLIDE from (3, 0) to (3, -1)
turn 50: lower: SLIDE from (1, -1) to (1, -2)
turn 51: upper: SLIDE from (4, -3) to (4, -2)
turn 51: lower: SLIDE from (1, -2) to (2, -3)
turn 52: upper: SLIDE from (4, -2) to (4, -1)
turn 52: lower: SLIDE from (2, -3) to (1, -2)
turn 53: upper: SLIDE from (3, -1) to (4, -2)
turn 53: lower: SLIDE from (1, -2) to (1, -1)
turn 54: upper: SLIDE from (4, -2) to (4, -3)
turn 54: lower: SLIDE from (1, -1) to (1, 0)
turn 55: upper: SLIDE from (3, -2) to (3, -1)
turn 55: lower: SLIDE from (1, 0) to (2, 0)
turn 56: upper: SLIDE from (4, -1) to (4, -2)
turn 56: lower: SLIDE from (2, 0) to (1, 0)
turn 57: upper: SWING from (4, -3) to (4, -1)
turn 57: lower: SLIDE from (1, 0) to (1, -1)
turn 58: upper: SWING from (4, -1) to (4, -3)
turn 58: lower: SLIDE from (1, -1) to (1, 0)
turn 59: upper: SLIDE from (4, -3) to (4, -4)
turn 59: lower: SLIDE from (1, 0) to (1, -1)
turn 60: upper: SLIDE from (3, -1) to (3, -2)
turn 60: lower: SLIDE from (1, -1) to (2, -2)
turn 61: upper: SWING from (4, -2) to (2, -2)
turn 61: lower: SLIDE from (2, -2) to (1, -1)
turn 62: upper: SWING from (2, -2) to (4, -3)
turn 62: lower: SLIDE from (1, -1) to (2, -2)
turn 63: upper: SLIDE from (4, -3) to (4, -2)
turn 63: lower: SLIDE from (2, -2) to (1, -1)
turn 64: upper: SLIDE from (4, -4) to (3, -3)
turn 64: lower: SLIDE from (1, -1) to (0, -1)
turn 65: upper: SWING from (3, -2) to (2, -3)
turn 65: lower: SLIDE from (0, -1) to (1, -1)
turn 66: upper: SWING from (2, -3) to (3, -2)
turn 66: lower: SLIDE from (1, -1) to (2, -1)
turn 67: upper: SLIDE from (4, -2) to (4, -3)
turn 67: lower: SLIDE from (2, -1) to (2, 0)
turn 68: upper: SLIDE from (3, -3) to (4, -4)
turn 68: lower: SLIDE from (2, 0) to (1, 1)
turn 69: upper: SLIDE from (3, -2) to (4, -2)
turn 69: lower: SLIDE from (1, 1) to (2, 0)
turn 70: upper: SLIDE from (4, -2) to (3, -2)
turn 70: lower: SLIDE from (2, 0) to (2, -1)
turn 71: upper: SWING from (4, -3) to (3, -4)
turn 71: lower: SLIDE from (2, -1) to (1, -1)
turn 72: upper: SWING from (3, -4) to (4, -3)
turn 72: lower: SLIDE from (1, -1) to (1, -2)
turn 73: upper: SLIDE from (3, -2) to (3, -3)
turn 73: lower: SLIDE from (1, -2) to (1, -1)
turn 74: upper: SLIDE from (3, -3) to (3, -2)
turn 74: lower: SLIDE from (1, -1) to (2, -1)
turn 75: upper: SWING from (4, -3) to (3, -4)
turn 75: lower: SLIDE from (2, -1) to (1, -1)
turn 76: upper: SWING from (3, -4) to (4, -3)
turn 76: lower: SLIDE from (1, -1) to (1, -2)
turn 77: upper: SLIDE from (3, -2) to (3, -3)
turn 77: lower: SLIDE from (1, -2) to (2, -3)
turn 78: upper: SLIDE from (4, -3) to (4, -2)
turn 78: lower: SLIDE from (2, -3) to (1, -3)
turn 79: upper: SLIDE from (4, -4) to (4, -3)
turn 79: lower: SLIDE from (1, -3) to (0, -2)
turn 80: upper: SLIDE from (4, -3) to (3, -2)
turn 80: lower: SLIDE from (0, -2) to (0, -1)
turn 81: upper: SLIDE from (4, -2) to (4, -1)
turn 81: lower: SLIDE from (0, -1) to (0, -2)
turn 82: upper: SLIDE from (3, -3) to (4, -3)
turn 82: lower: SLIDE from (0, -2) to (0, -1)
turn 83: upper: SLIDE from (4, -3) to (3, -3)
turn 83: lower: SLIDE from (0, -1) to (-1, 0)
turn 84: upper: SLIDE from (3, -2) to (4, -3)
turn 84: lower: SWING from (-1, 0) to (0, 1)
turn 85: upper: SWING from (3, -3) to (4, -2)
turn 85: lower: SLIDE from (0, 1) to (1, 1)
turn 86: upper: SWING from (4, -2) to (3, 0)
turn 86: lower: SLIDE from (1, 1) to (2, 0)
turn 87: upper: SLIDE from (4, -1) to (4, 0)
turn 87: lower: SLIDE from (2, 0) to (1, 1)
turn 88: upper: SLIDE from (3, 0) to (3, -1)
turn 88: lower: SLIDE from (1, 1) to (1, 2)
turn 89: upper: SLIDE from (4, 0) to (4, -1)
turn 89: lower: SLIDE from (1, 2) to (2, 2)
turn 90: upper: SWING from (3, -1) to (4, 0)
turn 90: lower: SLIDE from (2, 2) to (2, 1)
turn 91: upper: SLIDE from (4, -1) to (4, -2)
turn 91: lower: SLIDE from (2, 1) to (2, 0)
turn 92: upper: SLIDE from (4, -3) to (4, -2)
turn 92: lower: SLIDE from (2, 0) to (3, -1)
turn 93: upper: SLIDE from (4, 0) to (3, 0)
turn 93: lower: SLIDE from (3, -1) to (2, 0)
turn 94: upper: SLIDE from (3, 0) to (3, -1)
turn 94: lower: SLIDE from (2, 0) to (1, 1)
turn 95: upper: SLIDE from (3, -1) to (4, -1)
turn 95: lower: SLIDE from (1, 1) to (0, 1)
turn 96: upper: SWING from (4, -1) to (4, -3)
turn 96: lower: SWING from (0, 1) to (-2, 1)
turn 97: upper: SWING from (4, -2) to (3, -3)
turn 97: lower: SWING from (-2, 2) to (-1, 0)
turn 98: upper: THROW symbol s to (2, -3)
turn 98: lower: SLIDE from (-1, 0) to (0, -1)
turn 99: upper: SWING from (3, -3) to (4, -2)
turn 99: lower: SWING from (-1, 1) to (-3, 2)
turn 100: upper: SWING from (4, -2) to (4, -4)
turn 100: lower: SLIDE from (0, -1) to (1, -1)
turn 101: upper: SLIDE from (4, -3) to (4, -2)
turn 101: lower: SLIDE from (1, -1) to (2, -1)
turn 102: upper: SLIDE from (2, -3) to (3, -4)
turn 102: lower: SLIDE from (2, -1) to (3, -2)
turn 103: upper: SWING from (3, -4) to (4, -3)
turn 103: lower: SLIDE from (3, -2) to (4, -2)
turn 104: upper: SWING from (4, -4) to (4, -2)
turn 104: lower: SLIDE from (-3, 2) to (-4, 3)
turn 105: upper: SWING from (4, -3) to (4, -1)
turn 105: lower: SLIDE from (-4, 3) to (-3, 2)
turn 106: upper: SWING from (4, -1) to (4, -3)
turn 106: lower: SWING from (-3, 2) to (-2, 0)
turn 107: upper: SWING from (4, -3) to (4, -1)
turn 107: lower: SWING from (-2, 1) to (-2, -1)
turn 108: upper: SWING from (4, -1) to (4, -3)
turn 108: lower: SWING from (-2, -1) to (-2, 1)
turn 109: upper: SWING from (4, -2) to (4, -4)
turn 109: lower: SWING from (-2, 1) to (-2, -1)
turn 110: upper: SWING from (4, -4) to (4, -2)
turn 110: lower: SLIDE from (4, -2) to (3, -1)
turn 111: upper: SWING from (4, -3) to (4, -1)
turn 111: lower: SLIDE from (3, -1) to (4, -2)
turn 112: upper: SWING from (4, -1) to (4, -3)
turn 112: lower: SLIDE from (-2, 0) to (-2, 1)
turn 113: upper: SWING from (4, -2) to (4, -4)
turn 113: lower: SLIDE from (-2, -1) to (-2, 0)
turn 114: upper: THROW symbol r to (4, -4)
turn 114: lower: SLIDE from (4, -2) to (3, -1)
turn 115: upper: SLIDE from (4, -3) to (4, -2)
turn 115: lower: SWING from (-2, 1) to (-1, -1)
turn 116: upper: SLIDE from (4, -4) to (4, -3)
turn 116: lower: SLIDE from (3, -1) to (2, -1)
turn 117: upper: SWING from (4, -3) to (4, -1)
turn 117: lower: SLIDE from (-1, -1) to (-1, 0)
turn 118: upper: SWING from (4, -1) to (4, -3)
turn 118: lower: SLIDE from (-1, 0) to (-1, -1)
turn 119: upper: SWING from (4, -3) to (4, -1)
turn 119: lower: SLIDE from (-1, -1) to (-1, 0)
turn 120: upper: SWING from (4, -1) to (4, -3)
turn 120: lower: SLIDE from (-1, 0) to (0, -1)
turn 121: upper: SLIDE from (4, -2) to (3, -2)
turn 121: lower: SLIDE from (0, -1) to (0, 0)
turn 122: upper: SLIDE from (4, -3) to (4, -2)
turn 122: lower: SLIDE from (2, -1) to (1, 0)
turn 123: upper: THROW symbol r to (4, -4)
turn 123: lower: SWING from (1, 0) to (-1, 0)
turn 124: upper: SLIDE from (4, -4) to (3, -3)
turn 124: lower: SWING from (-2, 0) to (0, -1)
turn 125: upper: SWING from (3, -2) to (4, -4)
turn 125: lower: SWING from (-1, 0) to (1, -1)
turn 126: upper: SWING from (4, -4) to (3, -2)
turn 126: lower: SWING from (0, 0) to (2, -1)
turn 127: upper: SWING from (3, -3) to (3, -1)
turn 127: lower: SLIDE from (2, -1) to (3, -2)
turn 128: upper: SWING from (3, -1) to (4, -3)
turn 128: lower: SLIDE from (3, -2) to (4, -2)
turn 129: upper: SLIDE from (4, -3) to (4, -2)
turn 129: lower: SLIDE from (4, -2) to (3, -2)
turn 130: upper: SWING from (3, -2) to (4, -1)
turn 130: lower: SWING from (0, -1) to (2, -2)
turn 131: upper: THROW symbol p to (4, 0)
turn 131: lower: SWING from (3, -2) to (1, -2)
turn 132: upper: SWING from (4, -2) to (3, 0)
turn 132: lower: SWING from (1, -2) to (2, -1)
turn 133: upper: SLIDE from (3, 0) to (3, -1)
turn 133: lower: SLIDE from (1, -1) to (1, 0)
turn 134: upper: SWING from (4, 0) to (4, -2)
turn 134: lower: SWING from (2, -1) to (0, 0)
turn 135: upper: SWING from (3, -1) to (4, 0)
turn 135: lower: SLIDE from (2, -2) to (1, -1)
turn 136: upper: SLIDE from (4, -1) to (3, 0)
turn 136: lower: SWING from (0, 0) to (2, -2)
turn 137: upper: SLIDE from (4, -2) to (3, -1)
turn 137: lower: SLIDE from (2, -2) to (2, -1)
turn 138: upper: SLIDE from (3, -1) to (4, -2)
turn 138: lower: SLIDE from (2, -1) to (3, -1)
turn 139: upper: SWING from (4, 0) to (3, -1)
turn 139: lower: SLIDE from (3, -1) to (3, 0)
turn 140: upper: SLIDE from (3, 0) to (4, -1)
turn 140: lower: SWING from (1, -1) to (1, 1)
turn 141: upper: SWING from (4, -2) to (2, -1)
turn 141: lower: SLIDE from (3, 0) to (4, -1)
turn 142: upper: SLIDE from (2, -1) to (2, -2)
turn 142: lower: SLIDE from (1, 0) to (2, -1)
turn 143: upper: SWING from (4, -1) to (2, -1)
turn 143: lower: SLIDE from (2, -1) to (2, -2)
turn 144: upper: SLIDE from (3, -1) to (4, -1)
turn 144: lower: SLIDE from (4, -1) to (4, 0)
turn 145: upper: SLIDE from (4, -1) to (4, 0)
turn 145: lower: SLIDE from (4, 0) to (3, 1)
turn 146: upper: SLIDE from (2, -2) to (3, -2)
turn 146: lower: SLIDE from (3, 1) to (2, 1)
turn 147: upper: SLIDE from (2, -1) to (2, -2)
turn 147: lower: SLIDE from (2, -2) to (3, -2)
turn 148: upper: SWING from (2, -2) to (4, -2)
turn 148: lower: SWING from (2, 1) to (1, 0)
turn 149: upper: SLIDE from (3, -2) to (3, -1)
turn 149: lower: SLIDE from (1, 0) to (2, -1)
turn 150: upper: SLIDE from (3, -1) to (3, 0)
turn 150: lower: SLIDE from (3, -2) to (3, -1)
turn 151: upper: SLIDE from (4, -2) to (4, -1)
turn 151: lower: SLIDE from (3, -1) to (3, 0)
turn 152: upper: SWING from (4, -1) to (3, 1)
turn 152: lower: SLIDE from (3, 0) to (4, 0)
turn 153: upper: SLIDE from (3, 0) to (4, 0)
turn 153: lower: SLIDE from (4, 0) to (3, 0)
turn 154: upper: THROW symbol r to (2, -1)
turn 154: lower: SLIDE from (3, 0) to (4, 0)
turn 155: upper: SWING from (4, 0) to (2, 1)
turn 155: lower: SLIDE from (1, 1) to (2, 0)
turn 156: upper: SLIDE from (2, 1) to (3, 0)
turn 156: lower: SLIDE from (2, 0) to (2, -1)
turn 157: upper: SLIDE from (3, 1) to (4, 0)
turn 157: lower: SLIDE from (4, 0) to (3, 0)
turn 158: upper: SLIDE from (3, 0) to (3, -1)
turn 158: lower: SLIDE from (2, -1) to (3, -2)
turn 159: upper: SLIDE from (2, -1) to (2, -2)
turn 159: lower: SLIDE from (3, -2) to (2, -1)
turn 160: upper: SLIDE from (4, 0) to (3, 0)
turn 160: lower: SLIDE from (2, -1) to (2, -2)
turn 161: upper: SLIDE from (3, -1) to (3, -2)
turn 161: lower: SLIDE from (2, -2) to (1, -1)
turn 162: upper: SLIDE from (3, 0) to (4, -1)
turn 162: lower: SLIDE from (1, -1) to (2, -2)
turn 163: upper: SWING from (2, -2) to (4, -2)
turn 163: lower: THROW symbol s to (-1, 0)
turn 164: upper: SLIDE from (4, -1) to (4, 0)
turn 164: lower: SLIDE from (2, -2) to (1, -1)
turn 165: upper: SLIDE from (3, -2) to (3, -1)
turn 165: lower: SLIDE from (1, -1) to (1, 0)
turn 166: upper: SWING from (4, -2) to (3, 0)
turn 166: lower: SLIDE from (-1, 0) to (0, 0)
turn 167: upper: SWING from (3, -1) to (2, 1)
turn 167: lower: SLIDE from (0, 0) to (1, -1)
turn 168: upper: SLIDE from (3, 0) to (2, 0)
turn 168: lower: SWING from (1, -1) to (0, 1)
turn 169: upper: SLIDE from (2, 1) to (3, 0)
turn 169: lower: SLIDE from (1, 0) to (2, 0)
turn 170: upper: SWING from (2, 0) to (4, -1)
turn 170: lower: SLIDE from (0, 1) to (0, 2)
turn 171: upper: SWING from (4, -1) to (2, 1)
turn 171: lower: SLIDE from (2, 0) to (1, 1)
turn 172: upper: SWING from (2, 1) to (4, -1)
turn 172: lower: SLIDE from (1, 1) to (2, 1)
turn 173: upper: SWING from (4, -1) to (2, 1)
turn 173: lower: SLIDE from (2, 1) to (2, 2)
turn 174: upper: SWING from (2, 1) to (3, -1)
turn 174: lower: SLIDE from (2, 2) to (2, 1)
turn 175: upper: SLIDE from (4, 0) to (4, -1)
turn 175: lower: SLIDE from (2, 1) to (2, 2)
turn 176: upper: SLIDE from (3, 0) to (4, 0)
turn 176: lower: SLIDE from (0, 2) to (1, 2)
turn 177: upper: SLIDE from (3, -1) to (3, 0)
turn 177: lower: SWING from (1, 2) to (3, 1)
turn 178: upper: SWING from (4, 0) to (4, -2)
turn 178: lower: SLIDE from (3, 1) to (4, 0)
turn 179: upper: SLIDE from (4, -2) to (3, -2)
turn 179: lower: SLIDE from (4, 0) to (4, -1)
turn 180: upper: SLIDE from (3, 0) to (3, -1)
turn 180: lower: THROW symbol p to (0, 0)
turn 181: upper: SWING from (3, -2) to (2, 0)
turn 181: lower: SLIDE from (0, 0) to (1, 0)
turn 182: upper: SWING from (2, 0) to (3, -2)
turn 182: lower: SLIDE from (2, 2) to (1, 3)
turn 183: upper: SLIDE from (4, -1) to (3, 0)
turn 183: lower: SLIDE from (1, 3) to (0, 4)
turn 184: upper: SLIDE from (3, -1) to (4, -2)
turn 184: lower: SLIDE from (4, -1) to (3, 0)
turn 185: upper: SLIDE from (3, -2) to (4, -3)
turn 185: lower: SLIDE from (0, 4) to (1, 3)
turn 186: upper: SLIDE from (4, -2) to (4, -1)
turn 186: lower: SLIDE from (1, 3) to (1, 2)
turn 187: upper: SWING from (3, 0) to (4, -2)
turn 187: lower: SLIDE from (1, 2) to (0, 3)
turn 188: upper: SLIDE from (4, -3) to (4, -4)
turn 188: lower: SLIDE from (3, 0) to (2, 0)
turn 189: upper: SWING from (4, -2) to (3, 0)
turn 189: lower: SWING from (2, 0) to (1, -1)
turn 190: upper: SWING from (3, 0) to (4, -2)
turn 190: lower: SLIDE from (1, -1) to (2, -2)
turn 191: upper: SWING from (4, -1) to (4, -3)
turn 191: lower: SLIDE from (2, -2) to (3, -3)
turn 192: upper: SWING from (4, -4) to (3, -2)
turn 192: lower: SLIDE from (3, -3) to (2, -2)
turn 193: upper: SWING from (4, -3) to (2, -2)
turn 193: lower: SLIDE from (2, -2) to (1, -1)
turn 194: upper: SLIDE from (2, -2) to (1, -2)
turn 194: lower: SWING from (1, -1) to (2, 0)
turn 195: upper: SLIDE from (1, -2) to (2, -2)
turn 195: lower: SLIDE from (1, 0) to (1, -1)
turn 196: upper: SWING from (2, -2) to (3, -1)
turn 196: lower: SLIDE from (1, -1) to (2, -2)
turn 197: upper: SLIDE from (3, -2) to (4, -3)
turn 197: lower: SLIDE from (2, -2) to (3, -2)
turn 198: upper: SLIDE from (3, -1) to (2, 0)
turn 198: lower: SLIDE from (3, -2) to (4, -3)
turn 199: upper: SLIDE from (2, 0) to (3, 0)
turn 199: lower: SLIDE from (0, 3) to (1, 2)
turn 200: upper: SWING from (4, -3) to (4, -1)
turn 200: lower: SLIDE from (1, 2) to (2, 1)
turn 201: upper: SLIDE from (3, 0) to (4, 0)
turn 201: lower: SLIDE from (2, 1) to (3, 0)
turn 202: upper: SLIDE from (4, -1) to (3, -1)
turn 202: lower: SLIDE from (3, 0) to (4, 0)
turn 203: upper: SLIDE from (4, -2) to (4, -3)
turn 203: lower: SLIDE from (4, -3) to (3, -3)
turn 204: upper: SLIDE from (3, -1) to (4, -1)
turn 204: lower: SLIDE from (3, -3) to (2, -2)
turn 205: upper: SLIDE from (4, -3) to (4, -4)
turn 205: lower: THROW symbol s to (1, -1)
turn 206: upper: SLIDE from (4, -4) to (4, -3)
turn 206: lower: SWING from (2, -2) to (0, 0)
turn 207: upper: SWING from (4, -1) to (3, 1)
turn 207: lower: SLIDE from (1, -1) to (1, 0)
turn 208: upper: SWING from (3, 1) to (4, -1)
turn 208: lower: SLIDE from (1, 0) to (2, 0)
turn 209: upper: SLIDE from (4, 0) to (3, 0)
turn 209: lower: SLIDE from (0, 0) to (-1, 1)
turn 210: upper: SLIDE from (4, -1) to (4, 0)
turn 210: lower: SLIDE from (-1, 1) to (0, 0)
turn 211: upper: SLIDE from (3, 0) to (3, -1)
turn 211: lower: SLIDE from (2, 0) to (1, 0)
turn 212: upper: SLIDE from (4, -3) to (3, -2)
turn 212: lower: SWING from (0, 0) to (2, 0)
turn 213: upper: SWING from (3, -1) to (4, -3)
turn 213: lower: SLIDE from (2, 0) to (3, -1)
turn 214: upper: SLIDE from (3, -2) to (4, -2)
turn 214: lower: SLIDE from (3, -1) to (2, 0)
turn 215: upper: SWING from (4, -3) to (4, -1)
turn 215: lower: SWING from (1, 0) to (3, 0)
turn 216: upper: SWING from (4, 0) to (3, -1)
turn 216: lower: SLIDE from (3, 0) to (4, 0)
turn 217: upper: SWING from (4, -2) to (2, 0)
turn 217: lower: SLIDE from (2, 0) to (3, -1)
turn 218: upper: SWING from (2, 0) to (4, -2)
turn 218: lower: SLIDE from (4, 0) to (3, 1)
turn 219: upper: SWING from (4, -1) to (4, -3)
turn 219: lower: SLIDE from (3, -1) to (4, -1)
turn 220: upper: SLIDE from (3, -1) to (3, -2)
turn 220: lower: SLIDE from (4, -1) to (3, -1)
turn 221: upper: SWING from (3, -2) to (4, -4)
turn 221: lower: SLIDE from (3, -1) to (3, -2)
turn 222: upper: SLIDE from (4, -2) to (3, -2)
turn 222: lower: SLIDE from (3, -2) to (2, -1)
turn 223: upper: SLIDE from (3, -2) to (2, -2)
turn 223: lower: SLIDE from (2, -1) to (2, 0)
turn 224: upper: SLIDE from (2, -2) to (3, -2)
turn 224: lower: SLIDE from (2, 0) to (3, -1)
turn 225: upper: SLIDE from (3, -2) to (4, -2)
turn 225: lower: SLIDE from (3, -1) to (4, -1)
turn 226: upper: SLIDE from (4, -3) to (3, -2)
turn 226: lower: SLIDE from (4, -1) to (3, 0)
turn 227: upper: SLIDE from (3, -2) to (4, -3)
turn 227: lower: SLIDE from (3, 1) to (4, 0)
turn 228: upper: SLIDE from (4, -2) to (4, -1)
turn 228: lower: SWING from (4, 0) to (2, 0)
turn 229: upper: SLIDE from (4, -1) to (3, -1)
turn 229: lower: SWING from (3, 0) to (2, -1)
turn 230: upper: SLIDE from (3, -1) to (3, -2)
turn 230: lower: SLIDE from (2, -1) to (2, -2)
turn 231: upper: SLIDE from (3, -2) to (3, -3)
turn 231: lower: SLIDE from (2, -2) to (1, -1)
turn 232: upper: SWING from (3, -3) to (4, -2)
turn 232: lower: SLIDE from (1, -1) to (2, -1)
turn 233: upper: SLIDE from (4, -2) to (3, -2)
turn 233: lower: SWING from (2, 0) to (2, -2)
turn 234: upper: SWING from (4, -4) to (4, -2)
turn 234: lower: SWING from (2, -1) to (1, -2)
turn 235: upper: SWING from (4, -3) to (2, -2)
turn 235: lower: SLIDE from (2, -2) to (3, -2)
turn 236: upper: SWING from (2, -2) to (4, -3)
turn 236: lower: SLIDE from (1, -2) to (2, -2)
turn 237: upper: SWING from (4, -3) to (4, -1)
turn 237: lower: SWING from (2, -2) to (4, -2)
turn 238: upper: SWING from (4, -1) to (4, -3)
turn 238: lower: SLIDE from (4, -2) to (4, -1)
turn 239: upper: SWING from (3, -2) to (4, -1)
turn 239: lower: SLIDE from (4, -1) to (4, -2)
turn 240: upper: SLIDE from (4, -3) to (3, -2)
turn 240: lower: SWING from (3, -2) to (4, -1)
turn 241: upper: SLIDE from (3, -2) to (3, -1)
turn 241: lower: SLIDE from (4, -2) to (3, -2)
turn 242: upper: SWING from (3, -1) to (4, 0)
turn 242: lower: SLIDE from (3, -2) to (4, -2)
turn 243: upper: SLIDE from (4, 0) to (3, 0)
turn 243: lower: SWING from (4, -2) to (4, 0)
turn 244: upper: SLIDE from (3, 0) to (3, -1)
turn 244: lower: SWING from (4, 0) to (4, -2)
turn 245: upper: SLIDE from (3, -1) to (3, 0)
turn 245: lower: SLIDE from (4, -2) to (3, -1)
turn 246: upper: SLIDE from (3, 0) to (4, 0)
turn 246: lower: SLIDE from (3, -1) to (4, -2)
turn 247: upper: SLIDE from (4, 0) to (3, 0)
turn 247: lower: SWING from (4, -2) to (4, 0)
turn 248: upper: SLIDE from (3, 0) to (3, -1)
turn 248: lower: SLIDE from (4, 0) to (3, 0)
turn 249: upper: SWING from (3, -1) to (4, -3)
turn 249: lower: SLIDE from (3, 0) to (3, -1)
turn 250: upper: SLIDE from (4, -1) to (3, -1)
turn 250: lower: SLIDE from (3, -1) to (2, -1)
turn 251: upper: SLIDE from (3, -1) to (2, -1)
turn 251: lower: SLIDE from (4, -1) to (4, -2)
turn 252: upper: SLIDE from (2, -1) to (3, -2)
turn 252: lower: SLIDE from (4, -2) to (3, -1)
turn 253: upper: SLIDE from (3, -2) to (4, -2)
turn 253: lower: SLIDE from (3, -1) to (3, -2)
