turn 1: upper: THROW symbol s to (4, 0)
turn 1: lower: THROW symbol r to (-4, 0)
turn 2: upper: THROW symbol p to (3, -4)
turn 53: upper: SLIDE from (-1, 0) to (0, 0)
turn 53: lower: SWING from (0, 0) to (2, -1)
turn 54: upper: THROW symbol s to (4, -3)
turn 54: lower: SLIDE from (1, -1) to (0, 0)
turn 55: upper: THROW symbol p to (2, -1)
turn 55: lower: THROW symbol p to (-1, -3)
turn 56: upper: SLIDE from (2, -4) to (3, -4)
turn 56: lower: THROW symbol r to (-2, -2)
turn 57: upper: SLIDE from (3, -4) to (3, -3)
turn 57: lower: SWING from (-2, -2) to (0, -3)
turn 58: upper: SLIDE from (3, -3) to (2, -2)
turn 58: lower: SWING from (-1, -3) to (1, -3)
turn 59: upper: SWING from (2, -2) to (1, 0)
turn 59: lower: SLIDE from (1, -3) to (1, -2)
turn 60: upper: SLIDE from (1, 0) to (0, 0)
turn 60: lower: SLIDE from (0, 0) to (0, -1)
turn 61: upper: SLIDE from (0, 0) to (0, 1)
turn 61: lower: SWING from (0, -1) to (2, -2)
turn 62: upper: SLIDE from (2, -1) to (1, 0)
turn 62: lower: SLIDE from (2, -2) to (2, -1)
turn 63: upper: SLIDE from (1, 0) to (0, 0)
turn 63: lower: SLIDE from (2, -1) to (1, 0)
turn 64: upper: SLIDE from (0, 0) to (0, -1)
turn 64: lower: SLIDE from (1, 0) to (0, 0)
turn 65: upper: SLIDE from (0, -1) to (0, -2)
turn 65: lower: SLIDE from (0, 0) to (0, -1)
turn 66: upper: SLIDE from (0, -2) to (0, -3)
turn 66: lower: SLIDE from (0, -3) to (1, -4)
turn 67: upper: SLIDE from (0, -3) to (1, -4)
turn 67: lower: SLIDE from (1, -4) to (2, -4)
turn 68: upper: SLIDE from (4, -3) to (3, -3)
turn 68: lower: SLIDE from (2, -4) to (2, -3)
turn 69: upper: SLIDE from (3, -3) to (3, -2)
turn 69: lower: SWING from (0, -1) to (1, -3)
turn 70: upper: SLIDE from (1, -4) to (0, -4)
turn 70: lower: SLIDE from (1, -3) to (1, -4)
turn 71: upper: SLIDE from (0, -4) to (-1, -3)
turn 71: lower: SLIDE from (1, -4) to (0, -4)
turn 72: upper: SLIDE from (-1, -3) to (-1, -2)
turn 72: lower: SLIDE from (0, -4) to (-1, -3)
turn 73: upper: SLIDE from (-1, -2) to (0, -2)
turn 73: lower: SLIDE from (-1, -3) to (-1, -2)
turn 74: upper: SLIDE from (0, -2) to (1, -3)
turn 74: lower: SLIDE from (-1, -2) to (0, -2)
turn 75: upper: SLIDE from (1, -3) to (1, -2)
turn 75: lower: SLIDE from (2, -3) to (2, -2)
turn 76: upper: SLIDE from (3, -2) to (3, -1)
turn 76: lower: SLIDE from (2, -2) to (3, -2)
turn 77: upper: SLIDE from (3, -1) to (4, -1)
turn 77: lower: SLIDE from (3, -2) to (3, -1)
turn 78: upper: SLIDE from (4, -1) to (4, 0)
turn 78: lower: SLIDE from (3, -1) to (4, -1)
turn 79: upper: SLIDE from (4, 0) to (3, 1)
turn 79: lower: SLIDE from (4, -1) to (4, 0)
turn 80: upper: SLIDE from (3, 1) to (3, 0)
turn 80: lower: SLIDE from (4, 0) to (3, 1)
turn 81: upper: SLIDE from (3, 0) to (2, 0)
turn 81: lower: SLIDE from (3, 1) to (3, 0)
turn 82: upper: SLIDE from (2, 0) to (2, -1)
turn 82: lower: SLIDE from (3, 0) to (2, 0)
turn 83: upper: SLIDE from (2, -1) to (3, -1)
turn 83: lower: SLIDE from (2, 0) to (2, -1)
turn 84: upper: SLIDE from (3, -1) to (3, 0)
turn 84: lower: SLIDE from (2, -1) to (3, -1)
turn 85: upper: SLIDE from (3, 0) to (2, 1)
turn 85: lower: SLIDE from (3, -1) to (3, 0)
turn 86: upper: SLIDE from (2, 1) to (2, 2)
turn 86: lower: SLIDE from (3, 0) to (2, 1)
turn 87: upper: SLIDE from (2, 2) to (1, 3)
turn 87: lower: SLIDE from (2, 1) to (2, 2)
turn 88: upper: SLIDE from (1, 3) to (0, 3)
turn 88: lower: SLIDE from (2, 2) to (1, 3)
turn 89: upper: SLIDE from (0, 3) to (0, 2)
turn 89: lower: SLIDE from (1, 3) to (0, 3)
turn 90: upper: SLIDE from (0, 2) to (1, 1)
turn 90: lower: SLIDE from (1, -2) to (0, -1)
turn 91: upper: SLIDE from (1, -2) to (0, -1)
turn 91: lower: SLIDE from (0, -2) to (1, -2)
turn 92: upper: SWING from (0, 1) to (1, 2)
turn 92: lower: SLIDE from (0, 3) to (0, 2)
turn 93: upper: SWING from (1, 1) to (1, 3)
turn 93: lower: SLIDE from (0, -1) to (0, 0)
turn 94: upper: SLIDE from (0, -1) to (0, 0)
turn 94: lower: SLIDE from (1, -2) to (0, -1)
turn 95: upper: SLIDE from (1, 2) to (2, 2)
turn 95: lower: SLIDE from (0, 2) to (0, 3)
turn 96: upper: SWING from (1, 3) to (2, 1)
turn 96: lower: SLIDE from (0, 3) to (1, 3)
turn 97: upper: SLIDE from (2, 2) to (3, 1)
turn 97: lower: SLIDE from (1, 3) to (2, 2)
turn 98: upper: SLIDE from (2, 1) to (1, 2)
turn 98: lower: SLIDE from (0, 0) to (0, 1)
turn 99: upper: SLIDE from (1, 2) to (1, 3)
turn 99: lower: SLIDE from (0, -1) to (0, 0)
turn 100: upper: SLIDE from (1, 3) to (1, 2)
turn 100: lower: SLIDE from (2, 2) to (1, 3)
turn 101: upper: SLIDE from (1, 2) to (2, 2)
turn 101: lower: SLIDE from (1, 3) to (1, 2)
turn 102: upper: SLIDE from (2, 2) to (1, 2)
turn 102: lower: SLIDE from (0, 1) to (1, 1)
turn 103: upper: THROW symbol s to (1, 1)
turn 103: lower: SLIDE from (1, 1) to (2, 1)
turn 104: upper: THROW symbol p to (1, 2)
turn 104: lower: SLIDE from (2, 1) to (3, 1)
turn 105: upper: SLIDE from (1, 2) to (0, 2)
turn 105: lower: THROW symbol s to (1, 2)
turn 106: upper: SLIDE from (0, 2) to (-1, 2)
turn 106: lower: THROW symbol r to (1, 1)
winner: lower
